skillType,preferredLabel,relationType,altLabels,occupationUri,skillUri
skill/competence,demonstrate disciplinary expertise,essential,"demonstrate deep knowledge of a specific research area
demonstrate complex understanding of a specific research area
demonstrate deep knowledge of a research area
exhibit academic proficiency
demonstrate complex understanding of a research area",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db
skill/competence,perform data mining,optional,"mine data
use model data",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278
skill/competence,use databases,essential,"use database software
make use of databases
able to use using databases
use data bases
utilise databases
apply databases
use Dbs
use database
use database management systems",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1
knowledge,image recognition,optional,"image detection
visual recognition
visual detection
image interpretation",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/45f1ae17-c20d-40fc-9307-7d33b6ca9213
skill/competence,integrate ICT data,optional,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/46ec0033-3c71-415e-bcff-b065675ba2dc
knowledge,data engineering,essential,data engineering methods,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639
skill/competence,handle data samples,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4a193795-fa63-414e-9f2e-bfdb3924571e
skill/competence,teach in academic or vocational contexts,optional,"teach students in academic or vocational contexts
provide instruction in academic or vocational domains
instruct in educational or vocational settings",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83
skill/competence,increase the impact of science on policy and society,essential,"boost the contribution of science to shaping policies and society
influence decision making based on scientific evidence
enhance the impact of science influence on policy and society
enhance the influence of science on governance and communities",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728
skill/competence,manage ICT data architecture,optional,define enterprise data architecture,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956
skill/competence,manage findable accessible interoperable and reusable data,essential,"ensure data availability
ensure corrected data storing
support data reuse in research
ensure data reusability",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4f5c1208-62fd-4e5a-a51e-306c06947e11
skill/competence,perform scientific research,essential,"performing scientific research
engage in scientific research
carry out scientific research
conduct scientific research",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc
skill/competence,build recommender systems,essential,"recommender engine
build recommendation systems
recommender platform",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/505e4ef3-7ce4-437d-b7b4-5c608f71c258
skill/competence,perform data cleansing,essential,"performing data cleansing
undertake data cleansing
implement data cleansing
data cleansing performance
complete data cleansing
perform a data cleanse",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/50b100ea-74fd-4706-99db-3e4ca55e51b8
skill/competence,manage intellectual property rights,essential,"administer intellectual property rights
administer copyrights
manage copyrights",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/518dc04d-092d-4fa1-bd82-88b7a9278ef7
skill/competence,define data quality criteria,optional,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/54c9c155-9293-4329-8ed2-2e76e8b519d4
knowledge,scientific computing,optional,"scientific computation
computational science",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/5b26f08b-88bc-45f0-b901-530d7786466b
knowledge,SPARQL,optional,SPARQL Protocol and RDF Query Language,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/5da8018b-ae85-4cde-ad93-0394369018f3
skill/competence,apply for research funding,essential,"draft research grants applications
generate research funding
apply for research grants
identify research grants",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/5f0082ab-2131-49b5-94d6-a1821daf57d6
knowledge,quantitative analysis,essential,quantitative data analysis,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/6360a934-cc87-4954-9656-b32db20592e3
knowledge,data visualisation software,essential,data presentation software,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/65e58886-bd1e-4c5b-8ca5-8d9b353c8aa1
knowledge,statistical modeling techniques,essential,statistical modeling,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/68ef0e4d-5542-4e64-84f4-752cce5a3c22
knowledge,information extraction,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/696e3b5b-8b61-45af-ae4c-3ab700f197ec
skill/competence,design database scheme,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/6c08403c-a5bb-4868-b8c2-b7d039c0e511
skill/competence,implement data quality processes,essential,verify data,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/713fb616-118e-40bc-9366-4a69879a49d5
knowledge,research design,optional,research design methods,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/7159e587-c7cb-4ec0-a662-03e1dee2cccb
knowledge,scientific literature,essential,scientific publications,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/74e49482-75e8-4637-bdb1-fff868d02f7a
skill/competence,collect ICT data,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/79e29b8b-47d1-470d-b7b1-32506bfe7d9a
skill/competence,design database in the cloud,optional,"design automated cloud databases
apply design principles for cloud database design
design cloud data architecture
develop cloud database design
apply design principles for cloud data architecture",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/7e796b51-49d7-4e73-95af-2e7323763f15
knowledge,statistics,essential,"use of data in performance of work
use of statistics in performance of work
use of data
use of statistics
data
data analysis
statistical analysis
stats",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833
skill/competence,apply research ethics and scientific integrity principles in research activities,essential,"adhere to scientific research code of ethics
obey scientific research code of conduct
follow scientific research code of conduct",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/833289fa-3646-4010-9d9e-93ba8c9ef2d8
skill/competence,promote open innovation in research,essential,"boost open innovation in research
foster collaborative innovation in research
promote integrated collaboration in research
encourage open innovation in research
stimulate collaborative innovation in research",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/872a1632-f1db-4feb-bb27-0a6a359b7591
knowledge,digital curation,optional,digital research curation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3
knowledge,information categorisation,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/93aaf65c-5aad-4e6f-a7ba-ce9bf7c0e6e6
skill/competence,publish academic research,essential,"publishes academic research
publishing academic research
publish research
publish doctoral research
publish academic studies",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/979cf728-896f-4f2c-8fa8-2698ca0d4930
skill/competence,promote the transfer of knowledge,essential,"ensure connection between research and industry
valorise research findings in industry
valorise research findings in the public sector",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/988f4ac3-a37c-4b0a-a40f-4e0e56b5919e
knowledge,business analytics,optional,business data analytics,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9
knowledge,resource description framework query language,essential,"SPARQL
RDF query language",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/99207709-d076-4cce-ba38-e90d3bb28806
skill/competence,think abstractly,essential,"conceptualise abstract ideas
conceptualise reality
thinking in abstractions
carry out abstraction of concepts
thinking in abstract concepts",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/9a58cd26-58eb-4a1c-b1b6-64037fe9cfa1
