skillType,preferredLabel,relationType,altLabels,occupationUri,skillUri
skill/competence,recruit employees,essential,"hire new personnel
manage recruitment of employees
recruit staff
hiring new personnel
employ new personnel",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b
skill/competence,manage project changes,essential,"implement project changes
supervise project adjustments",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/4df7a57a-9405-4995-8e02-4ca404832247
knowledge,object-oriented modelling,optional,"object-oriented paradigm
knowledge of object-oriented modelling
object-oriented modeling",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c
skill/competence,analyse business plans,essential,"analyse business plan
analyse business plan feasibility
gauge business plans
analyse business formal statements
evaluate business plans
analyze  business plans
define and validate business needs and goals
analyse business objectives",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/5da3c765-10a3-49eb-934c-ec401ceb1a34
knowledge,Outsourcing model,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/63f0aa84-5e4c-4eb6-8e8c-876d9feedf1f
skill/competence,use ICT ticketing system,optional,use e-ticketing system,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/6430eb0d-c6de-46b7-a7fc-3dd2e8e62a69
knowledge,hybrid model,optional,"hybrid model principles
hybrid model fundamentals
knowledge of hybrid model
theory of hybrid model
Hybrid model",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/67a118f4-8a5f-48f7-8e5f-de34b9ca2c37
knowledge,crowdsourcing strategy,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7
skill/competence,implement ICT risk management,optional,implement ICT risk management,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/69cfc5ed-6569-4aca-a4cc-fd782ba51d9c
knowledge,Waterfall development,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/6a876489-7ad8-4a13-b09c-c9b8e97a302e
knowledge,outsourcing strategy,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/6f8baa62-bc2b-4cc1-942b-f540c837cfa2
skill/competence,maintain a central project repository,optional,"maintain a central project database
preserve a central project database
preserve a central project repository",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/770d4956-b5e0-4d44-bf42-3a766b232c5d
skill/competence,execute ICT audits,optional,"execute information security audits
execute ICT security audits
execute IT security audits
execute cyber security audits",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/7e1f9657-ab4e-407c-842f-b846197060e3
skill/competence,define roadmap for blockchain in applications,essential,create a blockchain roadmap in applications,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/8300443c-c793-4102-bff5-aa917a0cb39f
knowledge,service-oriented modelling,optional,"SaaS model
service oriented models
ICT service models
Software as a service
SaaS
service-oriented modeling",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/83218cac-3599-417e-93d2-26013cdccd98
knowledge,quality standards,essential,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/8d4271ca-c9fd-40b3-875f-15f78332a49e
knowledge,software design methodologies,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/8ff015a0-98ea-4d80-a23e-1f68110a919e
skill/competence,develop blockchain technology,essential,"integrate blockchain technology
incorporate blockchain technology",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/93b22bbf-ece1-4e2d-8d47-0c9392c5a4fd
knowledge,ICT project management,essential,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/94dd823c-148e-4614-a6e8-99249b16357d
knowledge,Rapid application development,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/96eb286a-58b7-45ff-a916-5578d0b79b8c
skill/competence,perform procurement processes,optional,"order goods and equipment
purchase
apply procurement
applying procurement",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/9e9a4209-c7cf-4f6e-973e-dc2ffadccc74
